recipe_id,recipe_name,recipe_url,ingredients,cook_time,calorie_count,review_count,overall_rating
76581,wvs-finest-boneless-ribs,https://www.allrecipes.com/recipe/76581/wvs-finest-boneless-ribs/,"['2 pounds boneless beef short ribs', '1 (12 ounce) bottle chili sauce', '1 teaspoon liquid smoke flavoring', '1/3 cup finely chopped onion', '2 teaspoons minced garlic', '1 tablespoon yellow mustard', '1 tablespoon honey mustard', '1 tablespoon Worcestershire sauce', '2 tablespoons steak sauce', '1/4 teaspoon celery seed', 'salt and pepper to taste']",1 h 30 m,225  cals,14 reviews,4.400000095
76582,companys-comeing-salad,https://www.allrecipes.com/recipe/76582/companys-comeing-salad/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76583,crock-pot-coq-au-vin,https://www.allrecipes.com/recipe/76583/crock-pot-coq-au-vin/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76584,chicken-asparagus-casserole-duplicate-1022004-13544-am,https://www.allrecipes.com/recipe/76584/chicken-asparagus-casserole-duplicate-1022004-13544-am/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76585,strawberry-slush,https://www.allrecipes.com/recipe/76585/strawberry-slush/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76586,noodles-mexicana,https://www.allrecipes.com/recipe/76586/noodles-mexicana/,"['1 pound ground beef', '1 onion, chopped', '2 cloves garlic, minced', '1 (11 ounce) can whole kernel corn, with liquid', '1 (2.25 ounce) can sliced black olives, with liquid', '1 (14.5 ounce) can tomatoes with juice, chopped', '1 (15 ounce) can chili beans, drained', '1/2 cup chopped green onions', '1 (1.25 ounce) package taco seasoning mix', '1/2 teaspoon salt', '1 (16 ounce) package uncooked egg noodles', '1/2 cup sour cream, for topping']",45 m,443  cals,31 reviews,4
76587,easy-chocolate-covered-cherries,https://www.allrecipes.com/recipe/76587/easy-chocolate-covered-cherries/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76588,grandpas-chili,https://www.allrecipes.com/recipe/76588/grandpas-chili/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76589,wonderfully-white-pizza,https://www.allrecipes.com/recipe/76589/wonderfully-white-pizza/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76590,best-brocolli-casserole,https://www.allrecipes.com/recipe/76590/best-brocolli-casserole/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
