recipe_id,recipe_url,calories,fat,carb,protein,cholesterol,sodium
220715,https://www.allrecipes.com/recipe/220715/deep-fried-asparagus/,423 calories;,24.6 ,36.7,15.2 ,108 ,1371 
220716,https://www.allrecipes.com/recipe/220716/haluski-cabbage-and-noodles/,319 calories;,17.1 ,35.9,7.2 ,72 ,139 
220717,https://www.allrecipes.com/recipe/220717/cabbage-balushka-or-cabbage-and-noodles/,482 calories;,18.9 ,67,13.5 ,103 ,161 
220718,https://www.allrecipes.com/recipe/220718/cabbage-and-noodles-with-apple-and-carrot/,486 calories;,18.9 ,68.2,13.4 ,103 ,168 
220719,https://www.allrecipes.com/recipe/220719/transylvanian-cabbage-and-noodles/,179 calories;,4.8 ,29.5,5.8 ,24 ,609 
220720,https://www.allrecipes.com/recipe/220720/my-grandmothers-cabbage-and-noodles/,491 calories;,20.2 ,57.4,22.1 ,93 ,758 
220721,https://www.allrecipes.com/recipe/220721/butter-garlic-cabbage-and-kluski-noodles/,416 calories;,18.1 ,55.1,11.2 ,88 ,160 
220722,https://www.allrecipes.com/recipe/220722/fried-cabbage-and-noodles/,554 calories;,36 ,42.1,17 ,83 ,679 
220723,https://www.allrecipes.com/recipe/220723/quick-cabbage-and-noodles/,510 calories;,20.4 ,51.8,29.5 ,116 ,586 
220724,https://www.allrecipes.com/recipe/220724/grandmothers-polish-cabbage-and-noodles/,618 calories;,23.1 ,82.3,24.8 ,59 ,709 
220725,https://www.allrecipes.com/recipe/220725/pan-fried-asparagus-with-onions/,78 calories;,5.9 ,5.4,2.7 ,15 ,126 
220726,https://www.allrecipes.com/recipe/220726/creamy-avocado-cucumber-soup/,341 calories;,28.1 ,25.2,5 ,0 ,22 
220727,https://www.allrecipes.com/recipe/220727/medium-cheddar-cheese-sauce-live-raw-and-vegan/,174 calories;,12.7 ,11,7 ,0 ,334 
220728,https://www.allrecipes.com/recipe/220728/raw-vegan-strawberry-pie/,348 calories;,27 ,27,5.2 ,0 ,29 
